#MMo    logLLo  logTe     G   G_BP    G_RP
0.1337532584   -2.71084  3.48392   12.7490  14.4319  11.5081
0.1341048549   -2.70786  3.48420   12.7387  14.4178  11.4988
0.1344564513   -2.70489  3.48449   12.7284  14.4037  11.4896
0.1348080477   -2.70192  3.48477   12.7182  14.3897  11.4803
0.1381027315   -2.67423  3.48742   12.6230  14.2600  11.3945
0.1413974152   -2.64718  3.49000   12.5305  14.1349  11.3110
0.1446920990   -2.62075  3.49253   12.4403  14.0139  11.2295
0.1479867827   -2.59492  3.49499   12.3524  13.8968  11.1500
0.1512814664   -2.57132  3.49704   12.2742  13.7950  11.0787
0.1545761502   -2.55079  3.49850   12.2095  13.7139  11.0188
0.1578708339   -2.53068  3.49992   12.1462  13.6349  10.9603
0.1611655176   -2.51092  3.50131   12.0841  13.5577  10.9029
0.1644602014   -2.49127  3.50268   12.0226  13.4816  10.8461
0.1677548851   -2.47196  3.50403   11.9624  13.4072  10.7904
0.1710495688   -2.45298  3.50535   11.9033  13.3345  10.7358
0.1743442526   -2.43432  3.50665   11.8455  13.2635  10.6823
0.1776389363   -2.41597  3.50792   11.7887  13.1940  10.6299
0.1809336200   -2.39823  3.50911   11.7343  13.1278  10.5795
0.1842283038   -2.38159  3.51014   11.6841  13.0676  10.5327
0.1875229875   -2.36521  3.51115   11.6347  13.0086  10.4868
0.1908176712   -2.34909  3.51214   11.5863  12.9507  10.4416
0.1941123550   -2.33322  3.51312   11.5386  12.8939  10.3972
0.1974070387   -2.31759  3.51407   11.4917  12.8382  10.3534
0.2007017225   -2.30232  3.51500   11.4461  12.7842  10.3108
0.2039964062   -2.28779  3.51583   11.4031  12.7337  10.2704
0.2072910899   -2.27347  3.51666   11.3608  12.6841  10.2306
0.2105857737   -2.25936  3.51746   11.3191  12.6353  10.1914
0.2138804574   -2.24545  3.51826   11.2780  12.5874  10.1527
0.2171751411   -2.23173  3.51905   11.2376  12.5403  10.1145
0.2204698249   -2.21820  3.51982   11.1978  12.4940  10.0769
0.2237645086   -2.20475  3.52058   11.1583  12.4482  10.0395
0.2270591923   -2.19140  3.52134   11.1191  12.4029  10.0023
0.2303538761   -2.17823  3.52208   11.0805  12.3584   9.9657
0.2336485598   -2.16524  3.52281   11.0426  12.3147   9.9296
0.2369432435   -2.15242  3.52353   11.0051  12.2717   9.8940
0.2402379273   -2.13977  3.52424   10.9683  12.2294   9.8589
0.2435326110   -2.12729  3.52495   10.9319  12.1879   9.8243
0.2468272948   -2.11496  3.52564   10.8961  12.1470   9.7902
0.2501219785   -2.10281  3.52632   10.8609  12.1069   9.7566
0.2534166622   -2.09120  3.52694   10.8275  12.0691   9.7246
0.2567113460   -2.07974  3.52755   10.7946  12.0320   9.6932
0.2600060297   -2.06843  3.52815   10.7622  11.9954   9.6621
0.2633007134   -2.05725  3.52875   10.7302  11.9594   9.6315
0.2665953972   -2.04620  3.52934   10.6986  11.9240   9.6013
0.2698900809   -2.03523  3.52992   10.6673  11.8889   9.5714
0.2731847646   -2.02439  3.53050   10.6364  11.8544   9.5418
0.2764794484   -2.01368  3.53107   10.6060  11.8204   9.5127
0.2797741321   -2.00310  3.53163   10.5760  11.7870   9.4840
0.2830688158   -1.99266  3.53219   10.5464  11.7540   9.4557
0.2863634996   -1.98233  3.53274   10.5172  11.7216   9.4278
0.2896581833   -1.97213  3.53328   10.4884  11.6896   9.4003
0.2929528671   -1.96204  3.53381   10.4599  11.6581   9.3731
0.2962475508   -1.95207  3.53434   10.4318  11.6270   9.3463
0.2995422345   -1.94220  3.53487   10.4041  11.5963   9.3197
0.3028369183   -1.93246  3.53540   10.3766  11.5659   9.2935
0.3061316020   -1.92292  3.53593   10.3496  11.5360   9.2679
0.3094262857   -1.91358  3.53646   10.3232  11.5068   9.2428
0.3127209695   -1.90443  3.53697   10.2973  11.4781   9.2182
0.3160156532   -1.89535  3.53748   10.2717  11.4497   9.1939
0.3193103369   -1.88643  3.53799   10.2465  11.4218   9.1700
0.3226050207   -1.87766  3.53848   10.2217  11.3944   9.1465
0.3258997044   -1.86905  3.53897   10.1974  11.3674   9.1234
0.3291943881   -1.86060  3.53946   10.1735  11.3409   9.1008
0.3324890719   -1.85231  3.53994   10.1500  11.3149   9.0786
0.3357837556   -1.84416  3.54041   10.1269  11.2892   9.0568
0.3390784394   -1.83578  3.54089   10.1033  11.2631   9.0345
0.3423731231   -1.82739  3.54135   10.0797  11.2370   9.0121
0.3456678068   -1.81907  3.54181   10.0563  11.2111   8.9900
0.3489624906   -1.81083  3.54227   10.0332  11.1854   8.9681
0.3522571743   -1.80107  3.54283   10.0056  11.1548   8.9421
0.3555518580   -1.79089  3.54344    9.9768  11.1226   8.9150
0.3588465418   -1.78105  3.54404    9.9488  11.0912   8.8887
0.3621412255   -1.77155  3.54464    9.9217  11.0607   8.8633
0.3654359092   -1.76239  3.54523    9.8953  11.0309   8.8387
0.3687305930   -1.75354  3.54582    9.8698  11.0019   8.8149
0.3720252767   -1.74513  3.54642    9.8452  10.9737   8.7921
0.3753199604   -1.73704  3.54703    9.8213  10.9461   8.7700
0.3786146442   -1.72916  3.54762    9.7980  10.9191   8.7486
0.3819093279   -1.72148  3.54819    9.7753  10.8929   8.7276
0.3852040116   -1.71405  3.54876    9.7532  10.8672   8.7073
0.3884986954   -1.70687  3.54933    9.7317  10.8421   8.6876
0.3917933791   -1.69988  3.54989    9.7107  10.8175   8.6684
0.3950880629   -1.69308  3.55046    9.6901  10.7932   8.6496
0.3983827466   -1.68642  3.55102    9.6699  10.7693   8.6312
0.4016774303   -1.67838  3.55165    9.6459  10.7412   8.6092
0.4049721141   -1.66897  3.55234    9.6181  10.7090   8.5837
0.4082667978   -1.65963  3.55303    9.5905  10.6769   8.5583
0.4115614815   -1.65035  3.55371    9.5631  10.6450   8.5331
0.4148561653   -1.64114  3.55438    9.5359  10.6133   8.5081
0.4181508490   -1.63199  3.55505    9.5088  10.5819   8.4832
0.4214455327   -1.62291  3.55572    9.4820  10.5505   8.4585
0.4247402165   -1.61390  3.55638    9.4553  10.5194   8.4340
0.4280349002   -1.60494  3.55704    9.4287  10.4885   8.4096
0.4313295839   -1.59604  3.55770    9.4024  10.4578   8.3853
0.4346242677   -1.58720  3.55835    9.3761  10.4272   8.3613
0.4379189514   -1.57843  3.55899    9.3501  10.3969   8.3373
0.4412136352   -1.56970  3.55963    9.3242  10.3667   8.3136
0.4445083189   -1.56104  3.56027    9.2985  10.3368   8.2900
0.4478030026   -1.55243  3.56090    9.2730  10.3070   8.2665
0.4510976864   -1.54336  3.56161    9.2458  10.2752   8.2416
0.4543923701   -1.53331  3.56247    9.2152  10.2389   8.2139
0.4576870538   -1.52333  3.56332    9.1849  10.2029   8.1863
0.4609817376   -1.51340  3.56417    9.1547  10.1671   8.1589
0.4642764213   -1.50353  3.56502    9.1247  10.1316   8.1316
0.4675711050   -1.49372  3.56586    9.0949  10.0963   8.1046
0.4708657888   -1.48397  3.56670    9.0653  10.0614   8.0777
0.4741604725   -1.47426  3.56753    9.0359  10.0266   8.0510
0.4774551562   -1.46462  3.56836    9.0067   9.9922   8.0245
0.4807498400   -1.45502  3.56918    8.9777   9.9581   7.9982
0.4840445237   -1.44548  3.57001    8.9489   9.9242   7.9720
0.4873392075   -1.43599  3.57082    8.9204   9.8906   7.9460
0.4906338912   -1.42655  3.57164    8.8920   9.8573   7.9202
0.4939285749   -1.41716  3.57245    8.8638   9.8243   7.8946
0.4972232587   -1.40781  3.57326    8.8358   9.7915   7.8691
0.5005179424   -1.39829  3.57411    8.8071   9.7579   7.8431
0.5038126261   -1.38764  3.57520    8.7743   9.7188   7.8136
0.5071073099   -1.37703  3.57629    8.7417   9.6800   7.7844
0.5104019936   -1.36647  3.57738    8.7093   9.6417   7.7554
0.5136966773   -1.35597  3.57846    8.6772   9.6038   7.7266
0.5169913611   -1.34552  3.57954    8.6454   9.5663   7.6980
0.5202860448   -1.33512  3.58061    8.6139   9.5292   7.6696
0.5235807285   -1.32477  3.58168    8.5826   9.4925   7.6414
0.5268754123   -1.31446  3.58275    8.5515   9.4561   7.6134
0.5301700960   -1.30420  3.58381    8.5205   9.4200   7.5856
0.5334647798   -1.29398  3.58486    8.4898   9.3842   7.5579
0.5367594635   -1.28381  3.58592    8.4592   9.3485   7.5304
0.5400541472   -1.27368  3.58697    8.4287   9.3130   7.5029
0.5433488310   -1.26359  3.58801    8.3984   9.2776   7.4756
0.5466435147   -1.25354  3.58906    8.3681   9.2423   7.4484
0.5499381984   -1.24354  3.59010    8.3379   9.2070   7.4213
0.5532328822   -1.23245  3.59145    8.3032   9.1656   7.3906
0.5565275659   -1.22140  3.59281    8.2685   9.1239   7.3600
0.5598222496   -1.21038  3.59417    8.2338   9.0822   7.3294
0.5631169334   -1.19941  3.59552    8.1991   9.0406   7.2989
0.5664116171   -1.18848  3.59686    8.1647   8.9992   7.2685
0.5697063008   -1.17759  3.59820    8.1304   8.9580   7.2383
0.5730009846   -1.16674  3.59954    8.0963   8.9171   7.2083
0.5762956683   -1.15592  3.60087    8.0625   8.8767   7.1786
0.5795903521   -1.14515  3.60220    8.0290   8.8369   7.1491
0.5828850358   -1.13441  3.60353    7.9959   8.7976   7.1198
0.5861797195   -1.12371  3.60485    7.9630   8.7588   7.0908
0.5894744033   -1.11304  3.60617    7.9304   8.7205   7.0620
0.5927690870   -1.10241  3.60749    7.8980   8.6825   7.0334
0.5960637707   -1.09181  3.60880    7.8658   8.6448   7.0049
0.5993584545   -1.08124  3.61012    7.8337   8.6072   6.9765
0.6026531382   -1.07008  3.61160    7.7992   8.5665   6.9464
0.6059478219   -1.05880  3.61313    7.7642   8.5250   6.9158
0.6092425057   -1.04755  3.61465    7.7291   8.4833   6.8852
0.6125371894   -1.03633  3.61618    7.6940   8.4415   6.8546
0.6158318731   -1.02513  3.61770    7.6588   8.3995   6.8240
0.6191265569   -1.01396  3.61922    7.6237   8.3575   6.7934
0.6224212406   -1.00281  3.62074    7.5886   8.3156   6.7629
0.6257159243   -0.99168  3.62226    7.5535   8.2738   6.7324
0.6290106081   -0.98058  3.62378    7.5186   8.2321   6.7020
0.6323052918   -0.96950  3.62530    7.4837   8.1906   6.6717
0.6355999756   -0.95844  3.62682    7.4490   8.1493   6.6414
0.6388946593   -0.94739  3.62833    7.4144   8.1083   6.6112
0.6421893430   -0.93637  3.62985    7.3798   8.0674   6.5811
0.6454840268   -0.92536  3.63137    7.3454   8.0267   6.5510
0.6487787105   -0.91437  3.63288    7.3111   7.9863   6.5210
0.6520733942   -0.90301  3.63460    7.2749   7.9433   6.4898
0.6553680780   -0.89144  3.63645    7.2377   7.8990   6.4578
0.6586627617   -0.87988  3.63829    7.2006   7.8548   6.4258
0.6619574454   -0.86834  3.64013    7.1634   7.8106   6.3939
0.6652521292   -0.85682  3.64197    7.1262   7.7661   6.3619
0.6685468129   -0.84530  3.64382    7.0888   7.7214   6.3298
0.6718414966   -0.83380  3.64566    7.0512   7.6763   6.2977
0.6751361804   -0.82231  3.64751    7.0136   7.6311   6.2655
0.6784308641   -0.81082  3.64936    6.9761   7.5862   6.2335
0.6817255479   -0.79935  3.65121    6.9388   7.5416   6.2016
0.6850202316   -0.78788  3.65306    6.9020   7.4979   6.1700
0.6883149153   -0.77642  3.65491    6.8658   7.4552   6.1387
0.6916095991   -0.76496  3.65677    6.8300   7.4133   6.1077
0.6949042828   -0.75350  3.65863    6.7945   7.3720   6.0769
0.6981989665   -0.74205  3.66049    6.7591   7.3309   6.0461
0.7014936503   -0.73050  3.66236    6.7234   7.2894   6.0151
0.7047883340   -0.71882  3.66425    6.6871   7.2471   5.9837
0.7080830177   -0.70715  3.66613    6.6506   7.2044   5.9521
0.7113777015   -0.69548  3.66801    6.6141   7.1617   5.9206
0.7146723852   -0.68380  3.66989    6.5775   7.1189   5.8890
0.7179670689   -0.67213  3.67176    6.5411   7.0764   5.8575
0.7212617527   -0.66045  3.67363    6.5050   7.0343   5.8262
0.7245564364   -0.64877  3.67550    6.4691   6.9927   5.7950
0.7278511202   -0.63709  3.67736    6.4334   6.9514   5.7640
0.7311458039   -0.62539  3.67923    6.3980   6.9106   5.7332
0.7344404876   -0.61369  3.68108    6.3629   6.8702   5.7025
0.7377351714   -0.60198  3.68294    6.3280   6.8302   5.6720
0.7410298551   -0.59026  3.68479    6.2932   6.7904   5.6415
0.7443245388   -0.57852  3.68664    6.2585   6.7507   5.6111
0.7476192226   -0.56677  3.68849    6.2237   6.7110   5.5806
0.7509139063   -0.55499  3.69032    6.1887   6.6710   5.5500
0.7542085900   -0.54317  3.69210    6.1536   6.6309   5.5192
0.7575032738   -0.53133  3.69388    6.1184   6.5907   5.4883
0.7607979575   -0.51947  3.69565    6.0833   6.5506   5.4575
0.7640926412   -0.50758  3.69741    6.0483   6.5108   5.4267
0.7673873250   -0.49567  3.69918    6.0137   6.4716   5.3962
0.7706820087   -0.48374  3.70093    5.9796   6.4332   5.3660
0.7739766925   -0.47177  3.70269    5.9458   6.3953   5.3360
0.7772713762   -0.45977  3.70444    5.9121   6.3577   5.3061
0.7805660599   -0.44775  3.70618    5.8785   6.3201   5.2762
0.7838607437   -0.43568  3.70792    5.8447   6.2824   5.2462
0.7871554274   -0.42358  3.70965    5.8107   6.2443   5.2159
0.7904501111   -0.41144  3.71138    5.7765   6.2060   5.1855
0.7937447949   -0.39926  3.71310    5.7421   6.1675   5.1549
0.7954957615   -0.39276  3.71401    5.7238   6.1470   5.1386
0.7972467282   -0.38625  3.71492    5.7056   6.1265   5.1224
0.7989976948   -0.37973  3.71583    5.6873   6.1061   5.1061
0.8007486615   -0.37319  3.71671    5.6690   6.0858   5.0898
0.8024996281   -0.36662  3.71755    5.6509   6.0657   5.0735
0.8042505947   -0.36002  3.71839    5.6327   6.0455   5.0571
0.8060015614   -0.35342  3.71923    5.6145   6.0254   5.0408
0.8077525280   -0.34679  3.72007    5.5963   6.0053   5.0244
0.8095034947   -0.34015  3.72090    5.5782   5.9853   5.0080
0.8112544613   -0.33350  3.72174    5.5600   5.9652   4.9917
0.8130054280   -0.32681  3.72257    5.5418   5.9452   4.9753
0.8147563946   -0.32011  3.72340    5.5237   5.9252   4.9589
0.8165073613   -0.31340  3.72423    5.5055   5.9052   4.9425
0.8182583279   -0.30666  3.72506    5.4873   5.8852   4.9260
0.8200092946   -0.29990  3.72589    5.4691   5.8652   4.9096
0.8217602612   -0.29312  3.72671    5.4508   5.8452   4.8931
0.8235112279   -0.28632  3.72753    5.4326   5.8252   4.8766
0.8252621945   -0.27949  3.72836    5.4142   5.8051   4.8600
0.8270131612   -0.27264  3.72918    5.3959   5.7849   4.8434
0.8287641278   -0.26576  3.72999    5.3774   5.7648   4.8267
0.8305150945   -0.25886  3.73081    5.3589   5.7445   4.8099
0.8322660611   -0.25194  3.73162    5.3403   5.7242   4.7930
0.8340170278   -0.24498  3.73243    5.3217   5.7037   4.7761
0.8357679944   -0.23800  3.73324    5.3029   5.6831   4.7591
0.8375189611   -0.23099  3.73404    5.2840   5.6625   4.7419
