#    MMo    logLLo  logTe     G   G_BP    G_RP
0.1946108481    -2.34191  3.51302   11.5609  12.9171  10.4191
0.1955963778    -2.33750  3.51330   11.5475  12.9011  10.4067
0.1965819075    -2.33311  3.51358   11.5343  12.8852  10.3943
0.1975674371    -2.32875  3.51386   11.5211  12.8694  10.3821
0.2068945015    -2.28944  3.51627   11.4033  12.7299  10.2720
0.2162215659    -2.25227  3.51851   11.2925  12.5996  10.1680
0.2255486303    -2.21659  3.52066   11.1865  12.4755  10.0680
0.2348756946    -2.18229  3.52272   11.0849  12.3573   9.9719
0.2442027590    -2.14927  3.52470   10.9874  12.2447   9.8794
0.2535298234    -2.11797  3.52654   10.8957  12.1394   9.7922
0.2628568878    -2.08864  3.52822   10.8104  12.0424   9.7109
0.2721839522    -2.06030  3.52984   10.7284  11.9495   9.6328
0.2815110165    -2.03289  3.53141   10.6495  11.8606   9.5575
0.2908380809    -2.00633  3.53293   10.5733  11.7753   9.4850
0.3001651453    -1.98052  3.53440   10.4997  11.6932   9.4149
0.3094922097    -1.95276  3.53599   10.4207  11.6054   9.3399
0.3188192740    -1.92563  3.53753   10.3440  11.5203   9.2671
0.3281463384    -1.89911  3.53902   10.2693  11.4377   9.1961
0.3374734028    -1.87316  3.54045   10.1963  11.3572   9.1270
0.3468004672    -1.84775  3.54183   10.1251  11.2786   9.0595
0.3561275316    -1.82145  3.54345   10.0502  11.1948   8.9891
0.3654545959    -1.79514  3.54514   9.9747  11.1096   8.9185
0.3747816603    -1.76954  3.54674   9.9014  11.0269   8.8499
0.3841087247    -1.74515  3.54828   9.8314  10.9476   8.7846
0.3934357891    -1.72139  3.54977   9.7632  10.8700   8.7209
0.4027628535    -1.69618  3.55133   9.6908  10.7877   8.6535
0.4120899178    -1.66999  3.55319   9.6140  10.6988   8.5826
0.4214169822    -1.64444  3.55500   9.5389  10.6119   8.5134
0.4307440466    -1.61952  3.55677   9.4656  10.5268   8.4457
0.4400711110    -1.59519  3.55849   9.3938  10.4435   8.3797
0.4493981754    -1.57142  3.56019   9.3237  10.3621   8.3151
0.4587252397    -1.54445  3.56242   9.2421  10.2657   8.2408
0.4680523041    -1.51778  3.56464   9.1613  10.1704   8.1673
0.4773793685    -1.49166  3.56682   9.0825  10.0774   8.0955
0.4867064329    -1.46607  3.56896   9.0054   9.9869   8.0253
0.4960334972    -1.44098  3.57105   8.9302   9.8988   7.9568
0.5053605616    -1.41387  3.57364   8.8473   9.8006   7.8820
0.5146876260    -1.38537  3.57659   8.7594   9.6959   7.8032
0.5240146904    -1.35740  3.57948   8.6739   9.5949   7.7265
0.5333417548    -1.32995  3.58231   8.5908   9.4974   7.6517
0.5426688191    -1.30300  3.58508   8.5097   9.4029   7.5786
0.5519958835    -1.27591  3.58797   8.4277   9.3071   7.5050
0.5613229479    -1.24698  3.59149   8.3376   9.1997   7.4252
0.5706500123    -1.21853  3.59494   8.2481   9.0926   7.3462
0.5799770767    -1.19054  3.59834   8.1601   8.9871   7.2686
0.5893041410    -1.16301  3.60169   8.0743   8.8847   7.1929
0.5986312054    -1.13590  3.60498   7.9911   8.7866   7.1193
0.6079582698    -1.10779  3.60856   7.9051   8.6854   7.0434
0.6172853342    -1.07986  3.61213   7.8198   8.5852   6.9683
0.6266123986    -1.05236  3.61566   7.7351   8.4853   6.8939
0.6359394629    -1.02523  3.61913   7.6511   8.3858   6.8203
0.6452665273    -0.99849  3.62256   7.5681   8.2875   6.7476
