#MMo    logLLo  logTe     G   G_BP    G_RP
0.1000000000   -2.61159  3.47675   12.5764  14.3399  11.3188
0.1061108025   -2.57243  3.47985   12.4469  14.1687  11.1995
0.1122216049   -2.53312  3.48362   12.3113  13.9846  11.0764
0.1183324074   -2.46921  3.48836   12.1067  13.7216  10.8878
0.1244432099   -2.42867  3.49160   11.9750  13.5520  10.7665
0.1305540124   -2.39691  3.49417   11.8715  13.4197  10.6711
0.1366648148   -2.36844  3.49666   11.7771  13.2981  10.5844
0.1427756173   -2.34420  3.49910   11.6939  13.1888  10.5086
0.1488864198   -2.32646  3.50157   11.6267  13.0960  10.4490
0.1549972222   -2.30330  3.50366   11.5501  12.9983  10.3790
0.1611080247   -2.27872  3.50560   11.4717  12.9005  10.3067
0.1672188272   -2.25536  3.50750   11.3969  12.8070  10.2380
0.1733296297   -2.23331  3.50940   11.3256  12.7174  10.1729
0.1794404321   -2.21282  3.51134   11.2582  12.6316  10.1117
0.1855512346   -2.19075  3.51297   11.1897  12.5481  10.0484
0.1916620371   -2.16897  3.51454   11.1227  12.4671   9.9863
0.1977728395   -2.14841  3.51608   11.0590  12.3898   9.9273
0.2038836420   -2.12874  3.51753   10.9985  12.3168   9.8709
0.2099944445   -2.10962  3.51890   10.9401  12.2468   9.8163
0.2161052469   -2.09044  3.52023   10.8819  12.1778   9.7617
0.2222160494   -2.07183  3.52153   10.8256  12.1110   9.7086
0.2283268519   -2.05389  3.52280   10.7713  12.0468   9.6574
0.2344376544   -2.03660  3.52404   10.7189  11.9849   9.6080
0.2405484568   -2.01973  3.52526   10.6678  11.9248   9.5597
0.2466592593   -2.00304  3.52646   10.6176  11.8660   9.5122
0.2527700618   -1.98689  3.52760   10.5691  11.8095   9.4664
0.2588808642   -1.97095  3.52870   10.5217  11.7546   9.4214
0.2649916667   -1.95536  3.52978   10.4754  11.7013   9.3776
0.2711024692   -1.94012  3.53083   10.4303  11.6495   9.3349
0.2772132717   -1.92520  3.53185   10.3863  11.5991   9.2933
0.2833240741   -1.91060  3.53286   10.3434  11.5500   9.2528
0.2894348766   -1.89614  3.53384   10.3010  11.5019   9.2128
0.2955456791   -1.88195  3.53481   10.2596  11.4549   9.1737
0.3016564815   -1.86775  3.53577   10.2182  11.4080   9.1347
0.3077672840   -1.85311  3.53678   10.1755  11.3598   9.0946
0.3138780865   -1.83873  3.53778   10.1336  11.3123   9.0553
0.3199888890   -1.82425  3.53878   10.0915  11.2648   9.0159
0.3260996914   -1.81023  3.53978   10.0505  11.2183   8.9776
0.3322104939   -1.79615  3.54078   10.0094  11.1717   8.9392
0.3383212964   -1.78255  3.54179    9.9695  11.1261   8.9021
0.3444320988   -1.76916  3.54281    9.9299  11.0808   8.8654
0.3505429013   -1.75609  3.54385    9.8910  11.0359   8.8296
0.3566537038   -1.74151  3.54495    9.8479  10.9864   8.7898
0.3627645063   -1.72710  3.54605    9.8053  10.9372   8.7504
0.3688753087   -1.71286  3.54714    9.7631  10.8884   8.7116
0.3749861112   -1.69879  3.54821    9.7213  10.8398   8.6731
0.3810969137   -1.68481  3.54928    9.6798  10.7915   8.6349
0.3872077161   -1.67097  3.55034    9.6386  10.7435   8.5971
0.3933185186   -1.65727  3.55139    9.5977  10.6958   8.5596
0.3994293211   -1.64373  3.55243    9.5573  10.6485   8.5226
0.4055401236   -1.62841  3.55370    9.5109  10.5937   8.4804
0.4116509260   -1.61303  3.55499    9.4643  10.5385   8.4379
0.4177617285   -1.59778  3.55626    9.4179  10.4836   8.3958
0.4238725310   -1.58265  3.55753    9.3719  10.4291   8.3540
0.4299833334   -1.56761  3.55879    9.3262  10.3749   8.3124
0.4360941359   -1.55271  3.56004    9.2809  10.3211   8.2712
0.4422049384   -1.53794  3.56128    9.2359  10.2678   8.2304
0.4483157408   -1.52329  3.56251    9.1913  10.2150   8.1898
0.4544265433   -1.50678  3.56406    9.1400  10.1535   8.1437
0.4605373458   -1.48945  3.56576    9.0859  10.0882   8.0951
0.4666481483   -1.47203  3.56747    9.0315  10.0228   8.0463
0.4727589507   -1.45458  3.56922    8.9771   9.9573   7.9975
0.4788697532   -1.43703  3.57098    8.9225   9.8919   7.9486
0.4849805557   -1.41944  3.57277    8.8679   9.8266   7.8997
0.4910913581   -1.40181  3.57458    8.8134   9.7615   7.8508
0.4972021606   -1.38416  3.57640    8.7590   9.6968   7.8020
0.5033129631   -1.36530  3.57850    8.7003   9.6266   7.7498
0.5094237656   -1.34547  3.58082    8.6385   9.5527   7.6948
0.5155345680   -1.32558  3.58317    8.5767   9.4792   7.6400
0.5216453705   -1.30583  3.58552    8.5156   9.4068   7.5857
0.5277561730   -1.28609  3.58789    8.4545   9.3342   7.5314
0.5338669754   -1.26654  3.59026    8.3936   9.2619   7.4775
